Reference,X,Y,Name
MH4,51.5,36.5,Mounting Hole
MH3,3.5,36.5,Mounting Hole
MH2,51.5,3.5,Mounting Hole
MH1,3.5,3.5,Mounting Hole
TP1,14.34,17.54,5 V
TP2,8.8,1.3,RUN
TP3,51.2,32.6,GND
TP4,4.8,13,reserved
TP7,24.2,7.5,GND
TP8,1.65,15.05,GND
TP9,1.5,10.5,reserved
TP10,48.4,15.1,reserved
TP13,42.6,7.3,GND
TP15,14.7,6.6,reserved
TP16,9.3,34.9,nRPIBOOT
TP17,37.4,8.1,reserved
TP18,23.4,23.55,reserved
TP21,24.5125,14.025,nRESET_OUT
TP22,13.0875,11.225,reserved
TP26,17.7,20.2,GND
TP27,43.6,22.3,reserved
TP28,15.4,16,reserved
TP29,23.65,21.55,reserved
TP30,37.2,34.9,reserved
TP31,9.1,3.2,reserved
TP32,1.5,13,reserved
TP33,47,36,CM5_3V3
TP34,50.5,15.5,CM5_1V8
TP35,11,37.8,DEBUG_UART_TX
TP36,8.5,37.1,DEBUG_UART_RX
TP39,22.1,6.1,reserved
TP40,6.7,15.2,reserved
TP41,8.7,15.3,reserved
TP42,11.4,34.9,PWR_BUT
TP44,51.7,30.2,reserved
TP45,53.1,28.7,reserved
TP46,7,34.7,GND
TP48,21.6,15.4,SOC_TRST_N
TP49,21.6,13.3,SOC_TDI
TP50,20.4,17.2,SOC_TDO
TP51,20.3,8.8,SOC_TMS
TP52,19.9,11.9,SOC_TCK
TP57,53.2,32,reserved
TP60,48,38.7,GND
TP61,6.575,1.225,GND
TP62,22.2,31.6,GND
TP63,8.7,18.2,5v_Sense
TP64,47.3,5.4,reserved
TP65,28.2,7.5,USBC_D_N
TP66,26.1,7.5,USBC_D_P
TP67,7,38.6,LED_nPWR
TP68,13,37.5,LED_nACT
TP69,38.8,25.9,ETH0_P
TP70,39.6,24.2,ETH0_N
TP71,43.8,14.1,ETH1_N
TP72,45.6,13.1,ETH1_P
TP73,42.4,31.7,ETH2_P
TP74,42.6,33.7,ETH2_N
TP75,41.6,37.8,ETH3_P
TP76,42.9,36.1,ETH3_N
TP77,45,37,GPIO_VREF
TP78,14.37,19.52,5 V
